Country Name,Asylum [YR2016]
Afghanistan,17980
Albania,..
Algeria,86
American Samoa,..
Andorra,..
Angola,..
Antigua and Barbuda,..
Argentina,..
Armenia,4
Aruba,..
Australia,..
Austria,..
Azerbaijan,137
"Bahamas, The",..
Bahrain,..
Bangladesh,39
Barbados,..
Belarus,..
Belgium,2
Belize,..
Benin,..
Bermuda,..
Bhutan,..
Bolivia,..
Bosnia and Herzegovina,..
Botswana,..
Brazil,..
British Virgin Islands,..
Brunei Darussalam,..
Bulgaria,..
Burkina Faso,..
Burundi,..
Cabo Verde,..
Cambodia,..
Cameroon,181
Canada,..
Cayman Islands,..
Central African Republic,..
Chad,..
Channel Islands,..
Chile,..
China,..
Colombia,30
Comoros,..
"Congo, Dem. Rep.",261
"Congo, Rep.",51
Costa Rica,..
Cote d'Ivoire,..
Croatia,..
Cuba,..
Curacao,..
Cyprus,..
Czech Republic,..
Denmark,..
Djibouti,..
Dominica,..
Dominican Republic,..
Ecuador,..
"Egypt, Arab Rep.",268
El Salvador,..
Equatorial Guinea,..
Eritrea,25
Estonia,..
Ethiopia,50
Faroe Islands,..
Fiji,..
Finland,..
France,..
French Polynesia,..
Gabon,..
"Gambia, The",..
Georgia,..
Germany,..
Ghana,..
Gibraltar,..
Greece,..
Greenland,..
Grenada,..
Guam,..
Guatemala,..
Guinea,..
Guinea-Bissau,..
Guyana,..
Haiti,..
Honduras,..
"Hong Kong SAR, China",..
Hungary,..
Iceland,..
India,652
Indonesia,..
"Iran, Islamic Rep.",..
Iraq,9016
Ireland,..
Isle of Man,..
Israel,..
Italy,..
Jamaica,..
Japan,..
Jordan,34
Kazakhstan,..
Kenya,49
Kiribati,..
"Korea, Dem. Peopleâ€™s Rep.",..
"Korea, Rep.",..
Kosovo,..
Kuwait,..
Kyrgyz Republic,..
Lao PDR,..
Latvia,..
Lebanon,..
Lesotho,..
Liberia,..
Libya,1727
Liechtenstein,..
Lithuania,..
Luxembourg,..
"Macao SAR, China",..
"Macedonia, FYR",..
Madagascar,..
Malawi,..
Malaysia,..
Maldives,..
Mali,96
Malta,..
Marshall Islands,..
Mauritania,..
Mauritius,..
Mexico,..
"Micronesia, Fed. Sts.",..
Moldova,..
Monaco,..
Mongolia,..
Montenegro,..
Morocco,..
Mozambique,26
Myanmar,116
Namibia,..
Nauru,..
Nepal,..
Netherlands,..
New Caledonia,..
New Zealand,..
Nicaragua,..
Niger,274
Nigeria,2430
Northern Mariana Islands,..
Norway,..
Oman,..
Pakistan,761
Palau,..
Panama,..
Papua New Guinea,..
Paraguay,..
Peru,..
Philippines,414
Poland,..
Portugal,..
Puerto Rico,..
Qatar,..
Romania,..
Russian Federation,66
Rwanda,..
Samoa,..
San Marino,..
Sao Tome and Principe,..
Saudi Arabia,110
Senegal,..
Serbia,..
Seychelles,..
Sierra Leone,..
Singapore,..
Sint Maarten (Dutch part),..
Slovak Republic,..
Slovenia,..
Solomon Islands,..
Somalia,1925
South Africa,..
South Sudan,710
Spain,..
Sri Lanka,..
St. Kitts and Nevis,..
St. Lucia,..
St. Martin (French part),..
St. Vincent and the Grenadines,..
Sudan,1314
Suriname,..
Swaziland,..
Sweden,..
Switzerland,..
Syrian Arab Republic,44303
Tajikistan,..
Tanzania,..
Thailand,50
Timor-Leste,..
Togo,..
Tonga,..
Trinidad and Tobago,..
Tunisia,..
Turkey,1398
Turkmenistan,..
Turks and Caicos Islands,..
Tuvalu,..
Uganda,..
Ukraine,255
United Arab Emirates,..
United Kingdom,..
United States,..
Uruguay,..
Uzbekistan,..
Vanuatu,..
"Venezuela, RB",..
Vietnam,..
Virgin Islands (U.S.),..
West Bank and Gaza,..
"Yemen, Rep.",2426
Zambia,..
Zimbabwe,..
