Country Name,Origin [YR2016]
Afghanistan,2501410
Albania,11050
Algeria,3675
American Samoa,..
Andorra,..
Angola,8363
Antigua and Barbuda,77
Argentina,115
Armenia,10687
Aruba,..
Australia,..
Austria,..
Azerbaijan,10087
"Bahamas, The",293
Bahrain,446
Bangladesh,13810
Barbados,144
Belarus,3824
Belgium,44
Belize,53
Benin,464
Bermuda,..
Bhutan,11732
Bolivia,515
Bosnia and Herzegovina,18179
Botswana,265
Brazil,793
British Virgin Islands,..
Brunei Darussalam,..
Bulgaria,794
Burkina Faso,2327
Burundi,408036
Cabo Verde,..
Cambodia,12408
Cameroon,10328
Canada,76
Cayman Islands,6
Central African Republic,490869
Chad,14146
Channel Islands,..
Chile,490
China,207733
Colombia,311051
Comoros,557
"Congo, Dem. Rep.",537429
"Congo, Rep.",13231
Costa Rica,197
Cote d'Ivoire,46741
Croatia,26211
Cuba,5925
Curacao,35
Cyprus,..
Czech Republic,1266
Denmark,..
Djibouti,1417
Dominica,20
Dominican Republic,344
Ecuador,1021
"Egypt, Arab Rep.",19742
El Salvador,19595
Equatorial Guinea,126
Eritrea,459390
Estonia,298
Ethiopia,83894
Faroe Islands,..
Fiji,791
Finland,..
France,45
French Polynesia,..
Gabon,152
"Gambia, The",11569
Georgia,6365
Germany,67
Ghana,15507
Gibraltar,..
Greece,101
Greenland,..
Grenada,100
Guam,..
Guatemala,12534
Guinea,17526
Guinea-Bissau,1635
Guyana,269
Haiti,29661
Honduras,10479
"Hong Kong SAR, China",5
Hungary,2904
Iceland,..
India,7243
Indonesia,13046
"Iran, Islamic Rep.",94042
Iraq,315998
Ireland,..
Isle of Man,..
Israel,467
Italy,44
Jamaica,1988
Japan,53
Jordan,1889
Kazakhstan,2326
Kenya,7506
Kiribati,..
"Korea, Dem. Peopleâ€™s Rep.",1409
"Korea, Rep.",243
Kosovo,..
Kuwait,1008
Kyrgyz Republic,2546
Lao PDR,7224
Latvia,165
Lebanon,4709
Lesotho,5
Liberia,6513
Libya,8796
Liechtenstein,..
Lithuania,64
Luxembourg,..
"Macao SAR, China",..
"Macedonia, FYR",1705
Madagascar,277
Malawi,407
Malaysia,443
Maldives,48
Mali,156390
Malta,..
Marshall Islands,..
Mauritania,36228
Mauritius,101
Mexico,10367
"Micronesia, Fed. Sts.",..
Moldova,2291
Monaco,..
Mongolia,2267
Montenegro,708
Morocco,2230
Mozambique,33
Myanmar,490265
Namibia,1348
Nauru,..
Nepal,8350
Netherlands,27
New Caledonia,..
New Zealand,25
Nicaragua,1409
Niger,1210
Nigeria,229261
Northern Mariana Islands,..
Norway,..
Oman,20
Pakistan,105376
Palau,..
Panama,33
Papua New Guinea,391
Paraguay,63
Peru,2589
Philippines,421
Poland,1144
Portugal,5
Puerto Rico,..
Qatar,20
Romania,1190
Russian Federation,62737
Rwanda,286033
Samoa,..
San Marino,..
Sao Tome and Principe,26
Saudi Arabia,897
Senegal,23019
Serbia,36898
Seychelles,5
Sierra Leone,4628
Singapore,33
Sint Maarten (Dutch part),..
Slovak Republic,792
Slovenia,15
Solomon Islands,66
Somalia,1012277
South Africa,427
South Sudan,1436667
Spain,29
Sri Lanka,117447
St. Kitts and Nevis,44
St. Lucia,993
St. Martin (French part),..
St. Vincent and the Grenadines,1330
Sudan,650588
Suriname,16
Swaziland,219
Sweden,8
Switzerland,..
Syrian Arab Republic,5524333
Tajikistan,910
Tanzania,554
Thailand,143
Timor-Leste,14
Togo,8286
Tonga,25
Trinidad and Tobago,295
Tunisia,1667
Turkey,57885
Turkmenistan,346
Turks and Caicos Islands,14
Tuvalu,..
Uganda,6189
Ukraine,239048
United Arab Emirates,103
United Kingdom,78
United States,277
Uruguay,13
Uzbekistan,3809
Vanuatu,..
"Venezuela, RB",7513
Vietnam,329331
Virgin Islands (U.S.),..
West Bank and Gaza,97749
"Yemen, Rep.",18396
Zambia,246
Zimbabwe,18116
